"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"Anaerocolumna chitinilytica",0.289330622845033,0.308704048754487,0.693893750216773,0.69788408107604,6.11537282424199e-10,1.27837669068296e-07,0.956637843288806,0.050009841032331,0.425275184285354,0.00258311682245112,0.78271344080462,0.512953625090104,NA,0.0207926508569675,0.893973974986878,0.423055801964992,0.737072002524831,0.99881363774454,0.886536101820946,0.444611766499104,0.143057874419652,0.535746868940073,0.0992420903480803
"Clostridioides sp. ES-S-0054-01",0.804830337998502,0.352978461348118,0.72327514072936,0.699638526290755,5.43334391727816e-07,0.000796849237483053,0.93055940516029,0.20320061409582,0.826527335580849,0.0442733116319424,0.983012220654723,0.771709881993594,NA,0.00605693944920533,0.841537079058342,0.558598119243272,0.801964304872021,0.99881363774454,0.98977823864413,0.648584486701276,0.267386282328839,0.546589380248217,0.105406885314644
"Bacillus subtilis",0.631837873365723,0.769787021799527,0.0418431920460104,0.359886306965586,0.0850211857405548,0.100026126379712,0.998278354082938,0.938221109263556,0.922710192136707,0.40336850916459,0.569753153275566,2.37916387296305e-07,NA,0.971640511987736,0.731403979875474,0.921691656482779,0.8948344971603,0.99881363774454,0.906018287353351,0.905408438599021,0.861717742684927,0.903805552642753,0.877469133190547
"Tannockella kyphosi",0.228215548193947,0.248238741021913,0.988756547582718,0.811074473486085,8.54148542156682e-08,2.90982581807136e-05,0.655451382613095,0.00184254983721312,0.466298535738325,0.00078661736512778,0.16616595200139,0.701714068063596,NA,0.00595927695746558,0.825720441478175,0.570607763465492,0.916599022479766,0.99881363774454,0.98977823864413,0.905408438599021,0.510014910014312,0.546589380248217,0.251525400259833
"Veillonella nakazawae",0.421405878567283,0.308704048754487,0.648430048497714,0.682951278379035,0.0103953433862909,0.0995113321509576,0.76445529681524,0.163722318286846,0.693534705207711,0.010579949663632,0.991828619041318,0.691340366711405,NA,0.000455114890842021,0.689661587053575,0.322725090903519,0.701852335408903,0.99881363774454,0.886536101820946,0.992961358142143,0.146255944642865,0.637850381967282,0.894346453023286
"Lactobacillus johnsonii",0.41810832091801,0.308704048754487,0.202813217443158,0.775486021392326,3.09218622828539e-05,0.0224621045914914,0.768457733375974,0.94650456816461,0.801917727504053,0.0125667083455513,0.961010953607263,0.785168275150756,NA,0.0404488231942332,0.689661587053575,0.753842122483344,0.582187771303484,0.99881363774454,0.886536101820946,0.109546580702265,0.146255944642865,0.923563221283193,0.505769718661099
"Vallitalea guaymasensis",0.695699961682016,0.263693413706937,0.807720707077006,0.502728007425136,1.60462472043057e-08,1.92101497073741e-05,0.758931806688305,0.149082642134313,0.488050428346423,0.006723298151482,0.94469198321127,0.487773960920994,NA,0.011829696209976,0.893973974986878,0.382923928702929,0.709649462125443,0.99881363774454,0.886536101820946,0.453727119380463,0.146255944642865,0.493864929722555,0.0799060293134962
"Lactococcus piscium",0.591415351800117,0.43078096448017,0.244420568559934,0.0419548932560515,0.176303717617761,0.373589802719234,0.925657093416418,0.753669345022714,0.918103587781609,0.0772923293458472,0.694770291598806,0.827019827039133,NA,0.0663678182898771,0.75073243394052,0.23113797655587,0.646268121243446,0.99881363774454,0.886536101820946,0.470907422491068,0.792648129623362,0.611540773012315,0.903581019463425
"Mogibacterium diversum",0.399649623338675,0.458050887843801,0.92824307979099,0.292519420953416,1.5760151558664e-09,1.9578208358502e-07,0.925657093416418,0.080292529780308,0.482019149439489,0.0017042887615282,0.694770291598806,0.773060115648759,NA,0.165009804536684,0.743202908346072,0.279826936225664,0.582187771303484,0.99881363774454,0.947547076626934,0.148385235670092,0.146255944642865,0.43992256779132,0.582742758110216
"Streptococcus vestibularis",0.33843527370374,0.438582607248789,0.966319342366822,0.403412916522722,0.0035093556753022,0.00765077078528798,0.335151057605143,0.571774891467095,0.279774701216547,0.158843126754684,0.650345095027647,0.961253884147121,NA,0.688772570257599,0.795096216105032,0.805144772344003,0.681283369480009,0.99881363774454,0.947547076626934,0.109546580702265,0.146255944642865,0.372585997428082,0.102661703900194
"Lachnoanaerobaculum umeaense",0.591415351800117,0.308704048754487,0.817826325238984,0.604074839460223,2.30013334929948e-09,1.49953235037998e-06,0.983927445908308,0.0972302242319245,0.530824115914541,0.00164060834945459,0.991828619041318,0.705033299585103,NA,0.0448601948588362,0.825720441478175,0.480208780610374,0.68358529058737,0.99881363774454,0.886536101820946,0.390306765939733,0.143057874419652,0.595146442947475,0.306011224419158
"Clostridium taeniosporum",0.71308593344311,0.357899689605827,0.850209504837118,0.924522268281507,2.34673294376799e-06,0.00119638144767474,0.670061070212008,0.0833954089062626,0.987187013380821,0.00625161062236568,0.983012220654723,0.162999082555955,NA,0.148867526607585,0.931239774220732,0.592594287466858,0.691816547915244,0.99881363774454,0.886536101820946,0.813316435554412,0.314419680342396,0.811190845094717,0.797343012233114
"Latilactobacillus sakei",0.554686452905123,0.743205345298089,0.373876698317245,0.315334318890597,0.0555853796782038,0.084543412874438,0.452895110178932,0.227740471738173,0.643552196998497,0.701793727841038,0.493916989322475,0.843165116537613,NA,0.911763305929632,0.937875675237932,0.605768864361486,0.511624648568897,0.99881363774454,0.947053625583481,0.812072687242999,0.876845530368711,0.533952858977259,0.306011224419158
"Methanobrevibacter smithii",0.674409333891516,0.934249398256446,0.90885366091001,0.253971390750838,0.205554467467662,0.403833612799299,0.953679091182035,0.0976641417645495,0.466298535738325,0.0979761370400216,0.81089125797556,0.645977624682368,NA,0.056321316992738,0.438337808788748,0.510460020654322,0.709649462125443,0.99881363774454,0.886536101820946,0.050446182140961,0.0178729972141227,0.690574945742331,0.0321792201170651
