"","Ciprofloxacin","Augmentin","Metronidazole","Ceftriaxone","Vancomycin","Cefepime","Azithromycin","Trimethoprim-Sulfamethoxazole","Penicillin","Levofloxacin","trimethoprim-sulfamethoxazole","Dapsone","Amoxicillin","Trimethoprim-sulfamethoxazole","Cefdinir","Metronidzole","Piperacillin-tazobactam","Trimethprim-sulfamethoxazole","Ceftazidime","TMP-SMX","Cefuroxime","Cephalexin","Pentamidine","Pencillin","Doxycycline","Meropenem","Daptomycin","Sulfamethoxazole","Cefazolin","Aztreonam"
"Syntrophobotulus glycolicus",0.797098749102496,2.18609620247078e-64,0.141656130093869,0.0756854509181408,2.18909615156049e-10,4.6898964284787e-08,0.54127599451827,0.000320326819111497,0.00797549112277813,0.70318938796474,NA,0.381327812539838,0.25080256587533,NA,NA,NA,0.00042707500004559,NA,0.411610216976334,0.996400948867142,0.0837269431651576,0.590383381604925,NA,NA,0.439559431119537,0.252332959759982,0.00152902592719773,0.606204738559963,NA,NA
"Lactobacillus helsingborgensis",0.385201992877704,9.85327947211379e-15,9.20803784753114e-15,0.421724527020838,4.81690309718309e-08,1.98898470127581e-10,0.00408808405731692,0.773131271678618,9.85327947211379e-15,0.163583055279388,NA,0.255252144290294,9.85327947211379e-15,NA,NA,NA,0.0179835172512762,NA,0.959110318968756,0.923308439818337,9.20803784753114e-15,9.85327947211379e-15,NA,NA,0.991464678082282,9.42079368761987e-15,7.98135799734454e-15,0.998691308636081,NA,NA
"Actinomyces qiguomingii",0.722666077385273,0.982481124427526,0.178071036200797,0.379197701143519,5.23957547321713e-06,2.49278369179079e-06,0.639676686562136,0.315088718410576,0.542048245204154,0.868808775676302,NA,0.925168618942033,0.558046914238808,NA,NA,NA,0.672455763194002,NA,0.284472187273774,0.730995498075903,0.0695801236935737,1.20108538116611e-56,NA,NA,0.513789986934095,0.091026371128904,0.0239609592738218,0.595041722776908,NA,NA
"Nocardiopsis sp. MT53",0.0117810975987442,0.745951414800504,0.442401827348952,0.0310315848388722,0.000604727251835071,0.00338885156734344,0.015493948909819,0.134863992446753,6.2076347827686e-23,0.793921327466556,NA,0.382914395679624,0.806215956484367,NA,NA,NA,0.0087033876360006,NA,0.551610775781935,0.185718113851227,7.6076499130656e-30,0.989394538587193,NA,NA,0.277417932788712,0.228563890567964,0.00434931837052319,0.990827364948587,NA,NA
"Lysobacter sp. CW239",0.107940785485791,5.6559869641752e-14,5.32827881172548e-14,0.825541293867623,0.0249763243612421,0.060903732400476,5.6559869641752e-14,5.6559869641752e-14,0.738576742879014,0.298130165542996,NA,0.560374360437776,5.6559869641752e-14,NA,NA,NA,0.841038396128509,NA,5.54585126046624e-14,0.109201417248714,0.761511008944269,5.6559869641752e-14,NA,NA,0.986848933572803,0.923035456588986,0.483406927611848,0.788068587613776,NA,NA
"Zunongwangia sp. SCSIO 43204",0.00361400445050372,0.574388435971933,0.333497331442287,0.0631220193939718,3.47401804629738e-06,0.000603500597246625,1.66102848829168e-38,0.823672002762479,0.00126078959580105,0.372144850313029,NA,0.0548703813014398,0.80544514969342,NA,NA,NA,7.33825137220415e-06,NA,0.4539802050012,0.695959878094328,0.574672150859797,0.869368758020265,NA,NA,0.387013156718864,0.38105246502771,0.000642991900093371,0.633620156971335,NA,NA
"Butyricimonas faecalis",0.126533474662218,0.115099134646062,0.337656221100962,0.107828486321013,0.804242153668108,0.438449568963517,0.246902932613633,0.0196134482776762,0.0851629759069907,0.687654507100048,NA,0.81046619090013,0.937960029285735,NA,NA,NA,0.00408713654476597,NA,0.0020644090013573,0.975404811036071,0.0203622325933622,0.547459099984275,NA,NA,0.496782391216546,0.0867096908272282,0.380689772342904,0.356073081529495,NA,NA
"Thalassococcus sp. S3",0.20850415324365,6.21794796075195e-19,0.36129932296182,0.610206916356282,0.00353568375549842,0.0047870742161169,6.21794796075181e-19,1.08332074719745e-67,0.104662448065381,0.0669427385030693,NA,0.646598306947444,6.21794796075181e-19,NA,NA,NA,0.00999260317701686,NA,0.879663193281009,0.000113744234162885,5.49948085433332e-19,0.761600365379645,NA,NA,5.05392418962683e-19,0.501589130014548,0.00248262306325935,0.863529484990496,NA,NA
"Oenococcus sicerae",0.00147402136211488,4.90616411461787e-28,3.59544796462515e-28,0.571988031500858,2.50738689052854e-06,0.000343836745654671,0.783717844115574,0.96047390985083,0.0228771449993395,0.0786772080254416,NA,0.977816528008898,4.90616411461787e-28,NA,NA,NA,0.629338396081331,NA,0.0146116205886965,0.376630923406657,0.627889970931049,4.90616411461787e-28,NA,NA,0.315822422154516,0.217206960002539,0.0179170382307955,0.213180380938331,NA,NA
"Yersinia rohdei",1.07626383094342e-05,3.1842388518168e-27,0.119760546559061,0.495149464310507,3.53687645374307e-06,0.000318057270374634,3.1842388518168e-27,0.805233013770079,0.0227406683192377,0.893238197561375,NA,0.440578823614485,0.299740851103574,NA,NA,NA,0.0929114152948743,NA,0.62495411205148,0.0186666085747284,0.621784586419985,0.124559079856373,NA,NA,0.840688454692072,0.697089291613944,0.98639393500591,0.0902829072491043,NA,NA
