"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"Parvimonas micra",0.757750341221962,0.297028729868963,0.586957628452042,0.910213295975794,1.61011397630147e-08,9.43003509757134e-06,0.820825248350841,0.355840316961569,0.97248396755788,0.000509678676739508,0.352281518970833,0.490203684285345,NA,0.0230202506399608,0.43270306998192,0.21101222266197,0.162583695227309,0.504860500982825,0.344974721418235,0.296255204188292,0.00482158641200621,0.254004297645665,0.0122187030444588
"Lactobacillus acidophilus",0.549080848445163,0.110899550176674,0.163883529501434,0.218046960166659,0.317274715615301,0.298965299748556,0.324190758038612,0.808639312728196,0.963010321400326,0.296688576460632,0.0125472588239864,0.907375815946806,NA,0.427571823413481,0.307001399387543,0.467529303007198,0.457939830899164,0.986019500219162,0.38892784734931,0.866720933836358,0.167312036613711,0.989127592539866,0.634201894458287
"Streptococcus suis",0.0542781393227889,0.241450761541571,0.310141492110949,0.336940188142367,0.00131749399973437,0.00116619890883402,0.534350995659976,0.759219145071379,0.526398087126988,0.32535152728636,0.798362475145239,0.912957548737022,NA,0.66788955883605,0.440183746819717,0.287307481506167,0.920418142080969,0.816444035169376,0.00778660798293331,0.107509488282009,0.155650028746308,0.0153326916635201,0.716851634653359
"Streptococcus sp. A12",0.038899837523254,0.650080125349964,0.25987107729502,0.248720017184576,0.000751404341924718,0.000251530817462143,0.0134304886382839,0.509970645172634,0.682583023737548,0.846042541400213,0.317531632425344,0.765247049367397,NA,0.112515919980768,0.0363557917797715,0.499941889699021,0.485174501292044,0.498906850274111,0.97007476055149,0.270077444612854,0.292386722892233,0.0864063399425861,3.25198577668894e-13
"Bacteriophage sp.",0.305806041494358,0.177833797783136,0.00100713389695589,0.000372142442934598,0.366408391443239,0.970370543299856,0.0935197771452483,0.800924947934837,0.408367510768655,0.0455395152171321,0.909682203865021,0.947322513224967,NA,0.193643172286734,0.0522213473030701,0.21219733354785,0.207534004724362,0.470382106452527,0.692035788649266,0.4899101833135,0.00607790060440279,0.150873903332924,5.76958528037973e-08
"Enterococcus faecium",0.622564177415418,0.0608263904662099,0.10578713557259,0.174063971912033,4.01888776862202e-05,0.000370799501592387,0.130938834024491,0.275116697999939,0.0557952576270528,0.129804311084023,0.960228980325413,0.756031223675094,NA,0.0291680491636277,0.0791353504232715,0.479625197251684,0.836975146622636,0.15536808607991,0.0280948834530514,0.279594811131745,0.0302459057063619,0.108795351887348,0.00534361988229017
"Actinomyces oris",0.0258248190733762,0.29733938179404,0.723424193110451,0.137236690760836,0.00788397231302332,0.00177332308868537,0.449075027963956,0.754446368144185,0.495958943636778,0.188247584848186,0.592868238765247,0.750019210308165,NA,0.850800789203134,0.685560917855425,0.202735757571829,0.219197010664158,0.456524534210471,0.196381517982944,0.217669731287698,0.103327578425422,0.267215221941253,0.331313293581442
"Clostridium manihotivorum",0.108987026046008,0.480670988160088,0.329473323249192,0.216924338750237,3.49411903541927e-05,0.000218672480637281,0.996096837549028,0.39069886440175,0.92860606989607,0.179246048227914,0.374099118961901,0.102695460426063,NA,0.28843025632096,0.85400663841835,0.976684279346,0.928797490548493,0.824907039144672,0.764663368271716,0.911330183004973,0.405057189249471,0.676882211925454,0.330979111476244
"Enterocloster clostridioformis",0.147513702411817,0.875597394616592,0.529067176390672,0.905653269807109,7.2623460407793e-05,6.22886137108349e-05,0.742085522546776,0.0722582084605588,0.227864491109558,0.0486211784390248,0.122498760193149,0.0122472620204324,NA,0.0188804711908983,0.586127560717389,0.237023480906974,0.703737089077259,0.681814004135073,0.380820377195231,0.571493908670497,0.181091307819289,0.651670293654893,0.066210557901587
"Faecalitalea cylindroides",0.107283056851929,0.0312312311409042,0.821641027208596,0.715348129121359,1.07554242498117e-13,2.68157461429763e-11,0.532503683932806,0.0275871802744639,0.172174199909088,0.00508827072094841,0.30486468847069,0.282824001403525,NA,0.000115867926697195,0.10392462798719,0.106210802821186,0.217570662788003,0.337034414909804,0.212765008212957,0.308265696414895,0.00794234842417358,0.485884681318483,0.199468738251367
