"","Ciprofloxacin","Augmentin","Metronidazole","Ceftriaxone","Vancomycin","Cefepime","Azithromycin","Trimethoprim-Sulfamethoxazole","Penicillin","Levofloxacin","trimethoprim-sulfamethoxazole","Dapsone","Amoxicillin","Trimethoprim-sulfamethoxazole","Cefdinir","Metronidzole","Piperacillin-tazobactam","Trimethprim-sulfamethoxazole","Ceftazidime","TMP-SMX","Cefuroxime","Cephalexin","Pentamidine","Pencillin","Doxycycline","Meropenem","Daptomycin","Sulfamethoxazole","Cefazolin","Aztreonam"
"Euzebya pacifica",0.666561669502001,0.931297818075064,8.05150656776436e-23,0.595761402378169,0.00097217970447252,0.00240976010460123,0.99912194136074,0.299229777828733,0.337833768006599,0.998028694704712,NA,0.64333996491213,0.999918319291581,NA,NA,NA,0.0263069481773156,NA,4.61381915182068e-23,0.906526501804043,1.07353420903525e-22,0.999640773265629,NA,NA,0.852255186337116,0.987199282538912,0.00388402102373415,0.999994515808782,NA,NA
"Dyella terrae",0.205341785562932,2.5413039859107e-17,0.680190465799668,4.26511024599527e-16,0.00655480511380586,0.00979061160313564,0.99912194136074,9.29690589249217e-17,0.970348687650738,0.998028694704712,NA,0.857019474956507,0.999918319291581,NA,NA,NA,0.12223062208057,NA,3.34927648859018e-17,0.939300151884405,6.69731430476598e-17,6.37636272828485e-17,NA,NA,0.784217992879678,6.7470601386256e-17,0.314403379986381,0.999994515808782,NA,NA
"Faecalibaculum rodentium",0.571763761801769,2.59102570169643e-57,0.2286859968395,0.415354426225654,1.81335865032311e-05,3.67145238876767e-05,0.80423039913837,0.414334981797074,0.334696383107958,0.998028694704712,NA,0.636636695157442,0.999918319291581,NA,NA,NA,0.0167374000610705,NA,0.292356996457354,0.975980561781185,0.395704657094815,0.625970188140842,NA,NA,0.765964498325426,0.822951782818593,0.0637723678781533,0.999994515808782,NA,NA
"Burkholderia ubonensis",0.312654213599976,0.784932609361169,0.28292276154329,0.889593198345595,0.000202030188940147,0.0105969348109881,0.504913451228698,0.33895595785734,0.00704466354801375,0.998028694704712,NA,0.705623409457017,0.999918319291581,NA,NA,NA,0.261601693985086,NA,1.58492207656166e-47,0.680475078957786,0.213338563125925,0.999640773265629,NA,NA,0.626639822541996,0.533951730901923,0.0117694141718297,0.999994515808782,NA,NA
"Staphylococcus agnetis",0.78855344579502,0.696769397911122,0.252863130504931,0.876722285072937,0.00469161843880893,0.000141064336202998,0.99912194136074,0.555297458714363,0.563485320795742,0.998028694704712,NA,0.361461400396229,0.999918319291581,NA,NA,NA,0.631887685238027,NA,0.462486704547347,0.959067157423086,0.385087947568381,0.999640773265629,NA,NA,0.369895284884131,0.435683169863496,0.113020546399714,0.999994515808782,NA,NA
"Mycoplasma sp. NEAQ87857",0.106853328837564,1.68999515461483e-20,3.91144568839405e-20,0.794423544790173,9.81101545263561e-09,4.99597718222619e-06,4.60805345491644e-20,0.0108238333941595,0.218914860590428,0.998028694704712,NA,0.354315549042483,0.999918319291581,NA,NA,NA,0.216383669331138,NA,0.778366124967558,0.959067157423086,0.976684396634323,0.999693252846552,NA,NA,0.685749444482221,5.43018149113422e-20,0.225334602635299,0.999994515808782,NA,NA
"Shewanella algae",0.224974952613936,3.22723925417447e-46,0.33542892475616,0.426836788901773,7.06390803826498e-05,0.000420216306090065,0.99912194136074,0.744173481566377,0.103273416251785,0.998028694704712,NA,0.395921369210118,0.999918319291581,NA,NA,NA,0.00985239838299859,NA,0.824840070088198,0.97746973832613,0.882548104013922,0.999640773265629,NA,NA,0.62602586491299,0.541341625036961,0.00164232004943344,0.999994515808782,NA,NA
"Streptomyces ficellus",0.857679518225626,1.25020486104212e-19,2.79578409870037e-19,0.988321845086769,0.000206766582793113,0.000512445860662305,0.99912194136074,0.903381658648492,0.975467955233005,0.998028694704712,NA,0.639284175477415,0.999918319291581,NA,NA,NA,0.56970327413255,NA,1.72850308669279e-19,0.959966405996324,3.64011951217537e-19,0.999640773265629,NA,NA,0.742405335079455,3.79374867179664e-19,0.0284182204377933,0.999994515808782,NA,NA
"Ehrlichia canis",0.0922275827896338,0.389405834599356,0.649556462819387,0.532719272371864,0.000223456841268651,0.00464082041802545,0.99912194136074,2.5404995060636e-15,4.10195275979044e-15,0.998028694704712,NA,0.979529876471398,2.28588997406824e-15,NA,NA,NA,0.199104017783735,NA,0.947522497054477,0.91602326012363,0.78140830333775,1.76645795442884e-15,NA,NA,0.879084747071714,1.8619853995542e-15,0.214652210790317,0.999994515808782,NA,NA
"Pyruvatibacter mobilis",0.915432221744984,2.46944775688345e-24,7.30441974632135e-24,0.490269835207491,0.0086639111969452,0.00201465030186101,0.99912194136074,0.995870456376978,0.994220550919695,0.998028694704712,NA,0.996790474821434,0.999918319291581,NA,NA,NA,0.0335094169282966,NA,3.97167424440002e-24,0.369990147761262,9.80946113368155e-24,0.999640773265629,NA,NA,0.52050175736628,0.57702234337248,0.0328659936169557,0.999994515808782,NA,NA
"Xanthomonas oryzae",0.0110911698753704,7.92791884190155e-34,0.229268148613077,0.73249633568594,0.0137724192353296,0.0323771916634897,0.99912194136074,0.00865932759318496,1.20560425237531e-11,0.998028694704712,NA,0.498125945487384,0.999918319291581,NA,NA,NA,0.514606179479095,NA,0.567756643405556,0.97746973832613,0.298251819345976,0.999640773265629,NA,NA,0.98441285584368,0.755182689738831,0.421701546397176,0.999994515808782,NA,NA
"Abyssicoccus albus",0.0357002524258584,0.788495394748211,0.240319758412158,0.770934234360339,0.000123627550776221,0.000206218620374425,0.99912194136074,0.433173644902832,1.16696510333264e-06,0.998028694704712,NA,0.281979684411165,0.999918319291581,NA,NA,NA,0.980839502206868,NA,0.460560489825321,0.993091876077185,0.798514312983059,0.999640773265629,NA,NA,0.959773669669027,0.821037948074047,0.228738691457943,0.999994515808782,NA,NA
"Carnobacterium maltaromaticum",0.014192315364766,0.94432993368268,0.611547991447335,0.0370867866295052,0.0171029067062322,0.00471473388009727,0.99912194136074,0.311803556007495,0.605580687305385,0.998028694704712,NA,0.141347259295065,0.999918319291581,NA,NA,NA,0.902519437634807,NA,0.442095737360619,0.91602326012363,0.0876021875046177,8.15425514024718e-12,NA,NA,0.466505993430214,0.584907948423432,0.99165675562552,0.999994515808782,NA,NA
