"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"Streptococcus parasanguinis",0.0631290503451927,0.494762515458943,0.878727732495055,0.282066672665422,0.00355691835514365,0.0275943874679582,0.00115945687696248,0.682827547629257,0.101087227390089,0.83551138945785,0.034028790253195,0.914315344878918,NA,0.0294018240438255,0.0175791255153727,0.431818352874486,0.393075421290626,0.865335910948478,0.118326745344437,0.109865123749241,0.152074427611153,0.27144340867758
"Parabacteroides sp. CT06",0.811034333428934,0.855120336120499,0.000100817225545603,0.0115283608254133,0.0655586081467211,0.209176822957785,0.154718585776647,0.000506550785338691,0.10539155974081,0.159070490834496,0.810506727501271,0.0623700545835531,NA,0.091767868273558,0.00197941670197351,1.14986840292251e-54,0.0265651947164417,0.099396604361467,0.158392272831414,0.205222957640293,0.0106975279330537,1.70456419402948e-05
"Enterococcus durans",0.727708322690415,0.251400228609368,0.132686744513142,0.0328351390286645,0.00165812411321184,0.00142873735681276,0.411797060209194,0.330531357828254,0.0466872889808094,0.316098652421071,0.471284955753405,0.78778413303051,NA,0.0315978247920558,0.11774868912917,0.46432872674316,0.162190079518019,0.042482441086393,0.00734483299470354,0.0260511970931848,0.596495714524983,0.77759351485706
"Faecalibacterium sp. IP118",0.00051843944759886,0.570151454456697,0.460336202882089,0.022537850268026,4.36671260747157e-07,0.00016286329901605,0.252658640998647,0.0170833658149688,0.0342133782088484,0.00310714456638115,0.522111185408945,0.178310441267204,NA,0.0007473340085662,0.272468377734772,0.447801347533363,0.0483470482721612,0.863102964913632,0.579222362459499,0.0170840103669559,0.0140284645025333,0.0980473969589376
"Romboutsia hominis",0.0377495929107303,0.276759155309267,0.481056274439553,0.642680237727235,8.91029192877323e-07,0.00420707156079381,0.0439509288808862,0.0311563189254207,0.17403475552372,0.00581425525362648,0.181803020809013,0.492573294965379,NA,0.0118641403149037,0.618901652264157,0.79940296005196,0.834486666336918,0.912882410697998,0.93248881166638,0.32831552663459,0.471701087286666,0.50864814710157
"Lachnoclostridium phocaeense",0.0440899977798933,0.0476621663259241,0.929335147815062,0.37683701072588,3.23419949144579e-13,1.26973002630448e-09,0.91694136492641,0.000644906308366738,0.350076277940908,0.000694395338330364,0.630639330302191,0.269647143936793,NA,7.92972059092224e-06,0.492232078780978,0.119196884680719,0.833077385325679,0.899818138791684,0.38353528900906,0.0754534153977162,0.2942989840242,0.108519742072049
"Wansuia hejianensis",0.0743119770683857,0.0511727612274451,0.787211412778116,0.318744259143671,1.52407348601673e-09,3.02662530216094e-08,0.556328062698309,4.81820702047394e-05,0.360281555065926,0.00135305459699322,0.200376631118922,0.0471714295185894,NA,7.08111287906358e-06,0.467908250170966,0.0599031633588077,0.279465708962013,0.0909029610915682,0.667976770374076,0.135068146021252,0.404223703557159,0.00679237473397359
"Anaerostipes rhamnosivorans",0.0510286580877232,0.351618633291384,0.628590875102747,0.555298525620928,5.78341888885835e-10,9.21723705669219e-08,0.974360148372676,0.000834186977466469,0.145389178866534,0.000213911921497165,0.0940366098704154,0.00663536672406643,NA,0.00178873701643144,0.8922324904729,0.149555238024547,0.801029522501175,0.976996669462368,0.444996071715564,0.0958592677649197,0.624332884172412,0.0456313555697079
"Bacteroides cellulosilyticus",0.726256479989956,0.0831239558627742,1.35433083060783e-05,4.9304791400202e-05,0.200791357725953,0.436704697086977,0.000246025715155951,0.00734630104221355,0.783208427156852,0.00131444120777945,0.891277701083991,0.233974359737268,NA,1.01806809647319e-08,0.415639158537591,0.00234354627279601,0.84496384669089,0.930454850167819,0.0867383254883805,0.236141753344569,0.88593512090197,4.0136683368658e-07
"Bacteroides fragilis",0.618767641225927,0.140025143014035,9.28088146590337e-08,0.0047135349579136,0.0239580048716869,0.65742319352771,0.105610440398927,0.000165708722166762,0.0438635855899923,0.00122865483146794,0.898025804201831,8.47374126871348e-18,NA,4.22794286227006e-05,0.00255496949272731,1.77835515694187e-05,0.110428403163936,0.132720802748715,0.514580629868852,0.447250467613362,0.0859699853645104,1.02355569816074e-22
"Eggerthella lenta",0.00792186107324077,0.111109812310188,0.0049631841865842,0.00429391420277708,6.05963184763064e-06,0.000279638267886806,0.485752665786072,0.00082706314698322,0.0394208135898531,0.000271558435180759,0.717872979368322,0.00487867211968535,NA,4.02627509875988e-05,0.301938566051157,0.319094093642701,0.279313659235937,0.821103021023921,0.202849387862436,0.000557584321279929,0.306092348836537,0.00386548255966307
"Adlercreutzia hattorii",0.088524716680332,0.0082231011506438,0.126237225532882,0.00200171295128738,0.0121062535608935,0.15212443131352,0.208648177205081,0.163738543931128,0.442399656857565,0.0216191827622411,0.721113916723064,0.504835856163359,NA,2.46085303633157e-06,0.844392892599531,0.0849118638354621,0.313288274686022,0.0855457472514949,0.0232133822611939,0.00852469041712045,0.185284796880377,0.142372068259353
"Plasmodium malariae",0.655507913418218,0.676495213776912,0.495909315285115,0.188849303227883,4.12213660706955e-05,0.0191311169586577,0.263618720543499,0.424805488040047,0.806007077510236,0.266718405364734,0.270650037353805,0.0734416002949682,NA,0.227247435129152,0.198832281236569,0.671266367488435,0.387051554261518,0.978225031041588,0.229259720348404,0.0886254550439667,0.0821622391479939,0.408620406558317
"Faecalibacterium sp. I2392",0.0042121086477975,0.753036237894737,0.526728900950693,0.197979402634062,1.95129912072222e-06,0.00118935410722893,0.273849845290441,0.0070586692393966,0.401798784984806,0.0134517625959949,0.652466471107726,0.025236103698032,NA,0.000245273848840501,0.316629007372938,0.965436714727286,0.0315327009497179,0.967045590904455,0.744317940095543,0.0476374500590269,0.123848253156247,0.0884329887513937
"Aminipila luticellarii",0.0349887414266336,0.283655231564996,0.479962364714555,0.310802142491883,3.58925385532484e-11,7.51401896829359e-09,0.485437126833211,0.0123140144969154,0.0711655686720324,0.00103602190003774,0.548957213154373,0.0123816509946868,NA,0.00319266948017577,0.382300966438982,0.134490716885215,0.653297411048716,0.645544181151751,0.157375615413749,0.0216720067480275,0.0756065617756273,0.00124553205388172
"Bifidobacterium animalis",0.670691948332085,0.171869159603511,0.814968527725195,0.421302464665483,0.525512708792353,0.70889993572781,0.206388788903107,0.632585075160703,0.631607894482339,0.000443279270156004,0.785369699639654,0.111658346190342,NA,0.419438539748,0.306087507938193,0.161854378416631,0.0782484164557872,0.514723270449468,0.774409830190764,0.164662918933547,0.990695991649386,0.41216286696912
"Alistipes senegalensis",0.974923789266993,0.111500919597047,5.07761937379589e-06,6.59595420268433e-05,0.0160529194058112,0.315566705194515,0.236270093046121,0.0041628362875849,0.529039740778357,0.00218226412915061,0.331859727766482,0.221793902099562,NA,5.17903716056267e-07,0.039976086806167,0.00234948813429887,0.560218228647414,0.259756053044245,0.0220082146372745,0.0302821321220509,0.0796237876346757,0.00410337571180194
"Bacillus velezensis",0.224164171088376,0.205558949594168,0.00282146322398338,0.170454682516326,0.046165483896743,0.0878155673160987,0.202820381594917,0.880510251374745,0.524779868245446,0.0500486153270942,0.00509582845605623,0.251071714061702,NA,0.868416650201015,0.466771029983892,0.850289468523621,0.480678727318944,0.32587904216737,0.658430147235831,0.541407130501471,0.375831179591088,0.752494640217589
"Bacteroides salyersiae",0.469976122250729,0.252018877096217,7.9419022020495e-08,0.000519267635548556,0.0594346205766877,0.67256806215861,0.342782387327794,0.033108921192694,0.00957997178077437,0.136930273871561,0.208347706736827,0.325570716854858,NA,0.00185635224135904,0.11339658052125,0.00139320811816487,0.786882507638916,0.871813027943505,0.0227874017615254,0.039852240587191,0.0770071451061401,2.5088340178385e-07
"Erysipelatoclostridium ramosum",0.183347126687563,0.00623072519684774,0.0442428888591728,0.481483499327956,8.44341906567368e-10,1.85504503899544e-06,0.915594653318477,9.71615748756009e-07,0.00532650477888423,5.23886693245583e-06,0.740411915902115,0.227536820922927,NA,8.66515873920117e-08,0.608701819532412,0.0014379609777902,0.467565428492711,0.594945447079851,0.333288430611686,0.152130047607786,0.523032941623663,0.174718314520748
"Lacticaseibacillus rhamnosus",0.0774536959093965,0.242157094720724,0.442826840475424,0.633114202559808,1.00118392519871e-07,1.82818680656346e-06,0.388773168776516,0.071162796365252,0.00068492941177663,0.119308863381507,0.0709743721722331,0.424212073478369,NA,0.228146306162461,0.974380701367125,0.392931186159695,0.613815972452548,0.24395340805767,0.676112442264007,0.337063913313914,0.601264239912761,0.885586020667214
"Clostridium saccharoperbutylacetonicum",0.630036594125887,0.334914232772372,0.312008588048469,0.850352864506417,1.83638751854002e-06,0.000106763461966446,0.472393337046704,0.236640692994987,0.143821630042616,0.0148461412093958,0.887991291024135,0.00218109733725565,NA,0.0856112993794085,0.752474440198206,0.241450466899984,0.354410240976311,0.998476324479096,0.726172411799177,0.314772856497667,0.296372177447356,0.205706829361029
"Enterobacter hormaechei",0.0055480678864463,0.378284101786282,0.90532469413679,0.08725546533015,0.0145252560129148,0.0118775862400526,0.226113005620932,0.598465596029375,0.297332043522223,0.42294075141767,0.000913335515963633,0.414271632963122,NA,0.591603767789753,0.34073478430576,0.0171204440428413,0.821428673625471,0.653669339390221,0.167515724773078,0.785912107319856,0.412675452911529,0.867730265783412
"Actinomyces viscosus",0.0285766437334266,0.398014500953814,0.730067253835997,0.0217000213159226,0.13533493238204,0.0858236497349746,0.23195310281253,0.752388926069083,0.18604262997931,0.0894001572471436,0.846422700738205,0.791095203483297,NA,0.536728749564565,0.0609686253848846,0.0932528544706207,0.215038626335769,0.139467943259135,0.199762420324818,0.0505990974179491,0.243101474031171,0.974851896311272
"Enterococcus gallinarum",0.765108903394347,0.556304425371347,0.306239939275978,0.018440565196566,0.0734933352375435,0.0024918770555611,0.399992112236315,0.355879553108322,0.244180959311889,0.745928903755435,0.364685893017696,0.368123670906324,NA,0.527450874282783,0.703762701891325,0.313235319214903,0.886298957656314,0.459980075640541,0.280096756939089,0.0458272145879395,0.106482797629511,0.295370439208842
"Veillonella rodentium",0.115217777201645,0.218541282352873,0.641237977351585,0.149854006632184,0.521505239738158,0.732704275093725,0.574648969547886,0.326188257733129,0.786896647542906,0.0165220750070643,0.926621153253322,0.388735435786019,NA,0.041011908225283,0.221536777815161,0.575974822019814,0.672751359746135,0.188667672926022,0.713400785996252,0.0993101133638052,0.111134309659544,0.737025280084295
"Clostridioides difficile",0.241620699970226,0.0442096383412583,0.968204059476587,0.509486269150162,4.32280574681302e-09,6.30591260233609e-07,0.686563774632263,0.0499724417784835,0.00186625336734983,0.00507804891836036,0.731719949051209,0.00185125823183063,NA,0.000788180027088768,0.943496487754879,0.164876235941347,0.155086097574006,0.565920785763851,0.471527746348576,0.162026043756334,0.273556061325443,0.608814260362451
"Collinsella aerofaciens",0.110038809234476,0.577866091131062,0.0573644812242117,0.0156749503198911,0.00237007044988434,0.00350403015519806,0.190913699133159,0.0749084676266618,0.275498237973306,0.00532585353476455,0.810895434908542,0.595482248025875,NA,0.00618294939945367,0.606804666950856,0.400659669906295,0.0304847312379526,0.924277413359617,0.0741601640776303,0.0435917668663912,0.860440423379062,0.168109136841465
"Streptococcus sp. 116-D4",0.45351282972927,0.462472413281222,0.698595922334352,0.847497675781307,0.0115243153085053,0.015179496958657,0.608567616145494,0.101414806871221,0.148855145238479,0.622427853096826,0.396718305643577,0.641848934502632,NA,0.0168318497224645,0.0113762776162994,0.630775205476926,0.123640991770266,0.284665434919069,0.0877037849915604,0.387504902838199,0.0443690923005559,0.417546361003363
