"","PreWilcox_p","PreTtest_adj_p"
"Komagataeibacter",0.502726839723744,0.944615559321442
"Azospirillum",0.260978804477257,0.944615559321442
"Sphingobium",0.411895689449869,0.944615559321442
"Desulfovibrio",0.766432483924744,0.944615559321442
"Polynucleobacter",0.940843057870922,1
"Paraburkholderia",0.655632293403191,0.944615559321442
"Variovorax",0.411895689449869,0.944615559321442
"Bordetella",0.710300071445582,0.944615559321442
"Achromobacter",0.456096689688021,0.944615559321442
"Neisseria",0.940843057870922,1
"Paraprevotella",0.201369373660395,0.944615559321442
"Porphyromonas",0.823755656108597,0.944615559321442
"Coprobacter",0.175410812098119,0.944615559321442
"Barnesiella",0.0464515360800191,0.944615559321442
"Gramella",0.130804953560372,0.944615559321442
"Tenacibaculum",0.881983805668016,0.977422351803734
"Winogradskyella",0.456096689688021,0.944615559321442
"Cellulophaga",0.655632293403191,0.944615559321442
"Aquimarina",0.260978804477257,0.944615559321442
"Echinicola",0.411895689449869,0.944615559321442
"Spirosoma",0.201369373660395,0.944615559321442
"Flammeovirga",0.229864253393665,0.944615559321442
"Chitinophaga",0.370219099785663,0.944615559321442
"Gimesia",0.551631340795428,0.944615559321442
